iter	Logloss
379	0.3652246752
380	0.3652062844
381	0.3651906047
382	0.3651707459
383	0.3651493552
384	0.3651330471
385	0.3651074753
386	0.3650883847
387	0.3650717763
388	0.3650517809
389	0.3650345885
390	0.3650106734
391	0.3649933332
392	0.3649719616
393	0.3649511512
394	0.36493973
395	0.3649215188
396	0.3649003527
397	0.3648816906
398	0.3648665628
399	0.3648501475
400	0.364831258
401	0.3648174782
402	0.3648008124
403	0.3647815677
404	0.3647695527
405	0.3647502576
406	0.3647322272
407	0.3647149709
408	0.3646970622
409	0.3646740628
410	0.3646611071
411	0.3646479226
412	0.3646307585
413	0.3646137098
414	0.3645926573
415	0.3645767803
416	0.3645629557
417	0.3645453933
418	0.3645279287
419	0.3645126505
420	0.3645002572
421	0.3644849166
422	0.3644684795
423	0.3644539873
424	0.3644356138
425	0.3644189554
426	0.36440815
427	0.3643889348
428	0.3643676277
429	0.3643539867
430	0.3643409383
431	0.3643270893
432	0.3643128609
433	0.3642980956
434	0.3642869026
435	0.3642727966
436	0.3642600895
437	0.3642494451
438	0.3642331263
439	0.3642222667
440	0.3642092626
441	0.3641940558
442	0.3641795225
443	0.3641634185
444	0.3641500539
445	0.3641322034
446	0.3641183654
447	0.3641040894
448	0.3640916377
449	0.3640798205
450	0.3640643903
451	0.3640505874
452	0.364037776
453	0.3640261195
454	0.3640084315
455	0.3639928131
456	0.3639784972
457	0.3639619167
458	0.3639473722
459	0.3639326934
460	0.3639143748
461	0.3638982354
462	0.3638843062
463	0.3638699486
464	0.363852756
465	0.3638376602
466	0.363824547
467	0.3638104597
468	0.3637979707
469	0.3637835774
470	0.3637705446
471	0.3637558975
472	0.3637403013
473	0.3637306328
474	0.3637132347
475	0.363700282
476	0.3636890607
477	0.3636767812
478	0.3636663038
479	0.363650265
480	0.3636373594
481	0.3636217311
482	0.3636067182
483	0.3635910461
484	0.3635730155
485	0.3635620198
486	0.3635414818
487	0.3635285775
488	0.3635124231
489	0.3635012979
490	0.3634884564
491	0.3634737181
492	0.3634642513
493	0.3634547875
494	0.3634438595
495	0.3634208351
496	0.3634065808
497	0.363394851
498	0.3633826982
499	0.3633718417
500	0.3633592303
501	0.3633480993
502	0.3633304506
503	0.3633147994
504	0.3633028824
505	0.3632913394
506	0.3632772544
507	0.3632696423
508	0.363255216
509	0.3632428313
510	0.3632307733
511	0.3632168067
512	0.363198639
513	0.3631836508
514	0.3631682477
515	0.3631497356
516	0.3631356855
517	0.3631219663
518	0.3631104255
519	0.3630994499
520	0.3630883295
521	0.3630707506
522	0.3630592734
523	0.3630452754
524	0.3630336148
525	0.3630204217
526	0.3630039887
527	0.362991292
528	0.3629780772
529	0.362968476
530	0.3629573873
531	0.3629397712
532	0.3629283982
533	0.3629165892
534	0.3629043127
535	0.3628954153
536	0.3628800733
537	0.3628653895
538	0.3628513617
539	0.3628414352
540	0.3628285823
541	0.3628178506
542	0.3628105936
543	0.362798021
544	0.3627855763
545	0.3627769974
546	0.362761441
547	0.3627511559
548	0.362742541
549	0.3627349602
550	0.362725916
551	0.362714369
552	0.362703185
553	0.3626881307
554	0.3626781529
555	0.3626606948
556	0.3626491215
557	0.3626383918
558	0.3626244517
559	0.3626108267
560	0.3626034892
561	0.3625927831
562	0.3625816157
563	0.3625662225
564	0.3625563574
565	0.3625481528
566	0.3625395124
567	0.362528648
568	0.362520741
569	0.3625088404
570	0.3624914941
571	0.362476478
572	0.3624658905
573	0.3624555833
574	0.3624435918
575	0.3624364754
576	0.3624235549
577	0.3624133123
578	0.362398725
579	0.3623839656
580	0.3623710184
581	0.3623649017
582	0.362352461
583	0.3623416015
584	0.3623312866
585	0.3623193429
586	0.3623045121
587	0.3622943115
588	0.3622796787
589	0.3622659338
590	0.3622557786
591	0.3622446389
592	0.3622349576
593	0.3622225014
594	0.3622125787
595	0.3622020692
596	0.3621893035
597	0.3621776593
598	0.3621663567
599	0.3621584883
600	0.3621393355
601	0.362127319
602	0.3621168111
603	0.362105605
604	0.3620958333
605	0.3620845289
606	0.3620741461
607	0.3620552434
608	0.3620423715
609	0.3620249968
610	0.3620148956
611	0.3620064304
612	0.361989839
613	0.3619688403
614	0.3619518281
615	0.3619436456
616	0.3619358935
617	0.3619237727
618	0.3619131438
619	0.3619053824
620	0.3618900896
621	0.3618782184
622	0.3618646231
623	0.3618568337
624	0.3618416038
625	0.3618253698
626	0.3618073503
627	0.3617961751
628	0.3617840655
629	0.3617737953
630	0.3617612088
631	0.3617503987
632	0.3617386872
633	0.3617258576
634	0.3617061003
635	0.3616924706
636	0.3616756897
637	0.3616691136
638	0.3616584585
639	0.3616510024
640	0.3616403187
641	0.3616327079
642	0.3616233275
643	0.3616123615
644	0.3616005731
645	0.361587279
646	0.3615757445
647	0.3615687549
648	0.3615628162
649	0.3615543663
650	0.3615418516
651	0.3615275305
652	0.3615162132
653	0.3615052806
654	0.3614952271
655	0.3614785104
656	0.3614612767
657	0.3614498402
658	0.3614373849
659	0.3614263281
660	0.3614094655
661	0.3613985681
662	0.3613892366
663	0.3613781045
664	0.3613689262
665	0.3613610909
666	0.361349643
667	0.3613407333
668	0.3613331074
669	0.3613205347
670	0.3613101291
671	0.3612970493
672	0.3612855564
673	0.3612755049
674	0.3612664875
675	0.3612543623
676	0.361244957
677	0.3612374491
678	0.361223169
679	0.3612119151
680	0.3611997648
681	0.3611869999
682	0.3611778645
683	0.3611676528
684	0.3611513226
685	0.3611441249
686	0.3611376479
687	0.3611211296
688	0.361114709
689	0.3611051639
690	0.361091529
691	0.3610854999
692	0.3610721494
693	0.3610632307
694	0.3610535763
695	0.3610461274
696	0.3610298452
697	0.3610203426
698	0.3610083217
699	0.3609975034
700	0.3609888703
701	0.3609804464
702	0.3609666141
703	0.360958412
704	0.3609475361
705	0.3609382144
706	0.3609269114
707	0.3609089658
708	0.3608993687
709	0.3608856533
710	0.3608699564
711	0.3608580622
712	0.3608480759
713	0.3608363889
714	0.3608200845
715	0.3608058568
716	0.3607922616
717	0.3607838637
718	0.3607701216
719	0.3607622657
720	0.3607460673
721	0.3607369658
722	0.3607244358
723	0.3607165074
724	0.3607093964
725	0.3607026447
726	0.3606907211
727	0.360679193
728	0.3606656423
729	0.360660216
730	0.3606498621
731	0.3606368076
732	0.3606271131
733	0.3606185322
734	0.3606081208
735	0.3605941117
736	0.360584451
737	0.360575676
738	0.3605661181
739	0.3605587789
740	0.3605514729
741	0.3605410379
742	0.3605299046
743	0.3605200863
744	0.3605112848
745	0.3605002539
746	0.3604884029
747	0.3604767668
748	0.3604716639
749	0.3604602849
750	0.3604500727
751	0.3604369068
752	0.3604284003
753	0.360421424
754	0.3604052865
755	0.3603924456
756	0.3603717944
757	0.3603598574
758	0.3603543431
759	0.3603462611
760	0.360333293
761	0.3603174885
762	0.3603068499
763	0.3602999731
764	0.3602947732
765	0.3602844883
766	0.3602723856
767	0.3602629302
768	0.3602496029
769	0.3602400411
770	0.3602313214
771	0.3602195493
772	0.3602071709
773	0.3601965722
774	0.3601765572
775	0.3601676885
776	0.3601579415
777	0.3601456256
778	0.3601383197
779	0.3601299703
780	0.3601200814
781	0.3601146318
782	0.3601032832
783	0.3600951088
784	0.3600847263
785	0.3600732892
786	0.3600571909
787	0.3600476412
788	0.3600398337
789	0.36003198
790	0.3600217734
791	0.3600131189
792	0.3600006475
793	0.3599916663
794	0.3599779276
795	0.359966324
796	0.359955185
797	0.3599487385
798	0.359938067
799	0.3599269343
800	0.359915629
801	0.3599091122
802	0.35990042
803	0.3598918443
804	0.359881272
805	0.359868244
806	0.3598571106
807	0.3598463985
808	0.3598356079
809	0.3598292863
810	0.3598164646
811	0.3598067737
812	0.3597946718
813	0.3597840109
814	0.3597663486
815	0.3597609762
816	0.3597474024
817	0.3597397958
818	0.3597353839
819	0.359720202
820	0.3597132228
821	0.3597006169
822	0.359683491
823	0.3596730856
824	0.3596623227
825	0.3596518568
826	0.3596439194
827	0.3596372765
828	0.3596309145
829	0.3596217412
830	0.3596032414
831	0.3595929986
832	0.3595803101
833	0.3595703415
834	0.3595587512
835	0.3595493937
836	0.3595385478
837	0.3595323189
838	0.359512697
839	0.3595011776
840	0.3594949872
841	0.3594892623
842	0.3594769754
843	0.3594699318
844	0.3594628018
845	0.3594523622
846	0.3594441571
847	0.3594326451
848	0.3594191958
849	0.3594116213
850	0.3594042246
851	0.359392639
852	0.3593779273
853	0.359366694
854	0.3593572369
855	0.3593475649
856	0.3593339453
857	0.3593296017
858	0.3593213259
859	0.3593131958
860	0.3592966166
861	0.3592839908
862	0.3592747779
863	0.3592641602
864	0.3592553746
865	0.3592439297
866	0.3592329834
867	0.3592210392
868	0.3592031737
869	0.359187715
870	0.3591749277
871	0.3591684083
872	0.3591601821
873	0.359155901
874	0.3591399175
875	0.3591327293
876	0.3591186538
877	0.3591053451
878	0.3590948348
879	0.3590785866
880	0.3590688247
881	0.3590606483
882	0.3590486529
883	0.3590354802
884	0.3590246391
885	0.3590193395
886	0.3590107604
887	0.3589982852
888	0.3589912359
889	0.3589785072
890	0.3589710249
891	0.3589627158
892	0.3589531317
893	0.3589382937
894	0.3589296683
895	0.3589205005
896	0.3589100388
897	0.3588964471
898	0.3588848246
899	0.3588727422
900	0.3588683258
901	0.3588621299
902	0.3588447645
903	0.3588328647
904	0.3588217898
905	0.358812269
906	0.3588040089
907	0.3587928948
908	0.3587850075
909	0.3587728629
910	0.3587641267
911	0.3587552719
912	0.3587449497
913	0.3587368416
914	0.3587275914
915	0.3587183225
916	0.3587105898
917	0.3587011738
918	0.3586900031
919	0.358671789
920	0.3586595445
921	0.3586520644
922	0.3586421627
923	0.3586308052
924	0.3586177216
925	0.3586081408
926	0.3585937268
927	0.3585854187
928	0.3585781539
929	0.3585683412
930	0.3585614667
931	0.3585481426
932	0.3585414385
933	0.3585278903
934	0.3585168538
935	0.3585100606
936	0.3585007531
937	0.3584893399
938	0.3584836957
939	0.358470202
940	0.358456733
941	0.3584477986
942	0.3584374453
943	0.3584286973
944	0.358419417
945	0.3584104379
946	0.3583985427
947	0.3583827616
948	0.3583732966
949	0.3583605811
950	0.3583543634
951	0.3583480568
952	0.358341152
953	0.3583312825
954	0.358320685
955	0.3583070658
956	0.3582962497
957	0.3582854578
958	0.3582751841
959	0.3582618896
960	0.3582563924
961	0.3582476805
962	0.3582398709
963	0.3582305407
964	0.358218469
965	0.3582105454
966	0.3581992502
967	0.3581908342
968	0.3581770455
969	0.3581658292
970	0.3581512416
971	0.3581422349
972	0.358127353
973	0.3581167884
974	0.3581079046
975	0.358100867
976	0.3580901126
977	0.3580837316
978	0.3580729017
979	0.3580636513
980	0.3580493051
981	0.3580392441
982	0.3580292607
983	0.3580183534
984	0.3580086701
985	0.3579967192
986	0.357985456
987	0.3579773091
988	0.3579705896
989	0.3579617234
990	0.3579536716
991	0.3579440093
992	0.3579353782
993	0.3579250863
994	0.3579150208
995	0.357905379
996	0.3579001487
997	0.3578901374
998	0.3578812816
999	0.3578709636
